location,name,freq,weighting,n_factors,date,ret
usa,momentum,daily,vw_cap,3,1926-09-16,0.00368352790346682
usa,momentum,daily,vw_cap,3,1926-09-17,0.00328764021895686
usa,momentum,daily,vw_cap,3,1926-09-18,0.00352951791909489
usa,momentum,daily,vw_cap,3,1926-09-20,0.00290995956638702
usa,momentum,daily,vw_cap,3,1926-09-21,0.00240732258635758
usa,momentum,daily,vw_cap,3,1926-09-22,0.00117550578696443
usa,momentum,daily,vw_cap,3,1926-09-23,0.000665116650923238
usa,momentum,daily,vw_cap,3,1926-09-24,-0.000714874702268414
usa,momentum,daily,vw_cap,3,1926-09-25,0.00124035151791606
usa,momentum,daily,vw_cap,3,1926-09-27,0.00166950989523409
usa,momentum,daily,vw_cap,3,1926-09-28,0.00107033113508708
usa,momentum,daily,vw_cap,3,1926-09-29,0.0031228872355507
usa,momentum,daily,vw_cap,3,1926-09-30,-0.000129338852594259
usa,momentum,daily,vw_cap,4,1926-10-01,0.00282112303922955
usa,momentum,daily,vw_cap,4,1926-10-02,0.000909408230229944
usa,momentum,daily,vw_cap,4,1926-10-04,0.00113194684356339
usa,momentum,daily,vw_cap,4,1926-10-05,-0.00285978821906945
usa,momentum,daily,vw_cap,4,1926-10-06,-0.00193695380395591
usa,momentum,daily,vw_cap,4,1926-10-07,0.000162815307910948
usa,momentum,daily,vw_cap,4,1926-10-08,0.00271753370184857
usa,momentum,daily,vw_cap,4,1926-10-09,-0.00266552083089419
usa,momentum,daily,vw_cap,4,1926-10-11,0.000576826706102269
usa,momentum,daily,vw_cap,4,1926-10-13,0.00596843890177731
usa,momentum,daily,vw_cap,4,1926-10-14,0.00827064195671248
usa,momentum,daily,vw_cap,4,1926-10-15,0.000794428487173654
usa,momentum,daily,vw_cap,4,1926-10-16,-0.00154007741151335
usa,momentum,daily,vw_cap,4,1926-10-18,0.00348154990071371
usa,momentum,daily,vw_cap,4,1926-10-19,-0.000279554736032976
usa,momentum,daily,vw_cap,4,1926-10-20,0.00151764116802075
usa,momentum,daily,vw_cap,4,1926-10-21,0.0039146698899784
usa,momentum,daily,vw_cap,4,1926-10-22,-0.000939764671940578
usa,momentum,daily,vw_cap,4,1926-10-23,-0.00417890214541249
usa,momentum,daily,vw_cap,4,1926-10-25,0.00453889149501227
usa,momentum,daily,vw_cap,4,1926-10-26,-0.00144781161981373
usa,momentum,daily,vw_cap,4,1926-10-27,0.00128965532328066
usa,momentum,daily,vw_cap,4,1926-10-28,-0.00340895709086795
usa,momentum,daily,vw_cap,4,1926-10-29,-0.000425614056945187
usa,momentum,daily,vw_cap,4,1926-10-30,-0.00276896557218874
usa,momentum,daily,vw_cap,4,1926-11-01,0.00198927123586929
usa,momentum,daily,vw_cap,4,1926-11-03,0.000295083074766706
usa,momentum,daily,vw_cap,4,1926-11-04,0.000856576154827541
usa,momentum,daily,vw_cap,4,1926-11-05,0.00606343319899883
usa,momentum,daily,vw_cap,4,1926-11-06,0.0000399292474103176
usa,momentum,daily,vw_cap,4,1926-11-08,-0.000272139309212038
usa,momentum,daily,vw_cap,4,1926-11-09,-0.00318860138383859
usa,momentum,daily,vw_cap,4,1926-11-10,-0.00181156682253157
usa,momentum,daily,vw_cap,4,1926-11-11,-0.00175766798337109
usa,momentum,daily,vw_cap,4,1926-11-12,-0.00244736569768492
usa,momentum,daily,vw_cap,4,1926-11-13,-0.00101393693201011
usa,momentum,daily,vw_cap,4,1926-11-15,-0.000586911379893756
usa,momentum,daily,vw_cap,4,1926-11-16,0.00131485114097947
usa,momentum,daily,vw_cap,4,1926-11-17,0.00110878146666584
usa,momentum,daily,vw_cap,4,1926-11-18,0.0050401984012795
usa,momentum,daily,vw_cap,4,1926-11-19,0.0031402274937307
usa,momentum,daily,vw_cap,4,1926-11-20,-0.0012770866190314
usa,momentum,daily,vw_cap,4,1926-11-22,-0.000508403378211177
usa,momentum,daily,vw_cap,4,1926-11-23,0.00114252313474562
usa,momentum,daily,vw_cap,4,1926-11-24,-0.00157984329649327
usa,momentum,daily,vw_cap,4,1926-11-26,0.000497616740298486
usa,momentum,daily,vw_cap,4,1926-11-27,0.00234608365965925
usa,momentum,daily,vw_cap,4,1926-11-29,-0.00027437557615678
usa,momentum,daily,vw_cap,4,1926-11-30,-0.000537311389715807
usa,momentum,daily,vw_cap,4,1926-12-01,-0.00434680593079084
usa,momentum,daily,vw_cap,4,1926-12-02,-0.00349501648178548
usa,momentum,daily,vw_cap,4,1926-12-03,-0.00362052933889163
usa,momentum,daily,vw_cap,4,1926-12-04,0.0016196749173462
usa,momentum,daily,vw_cap,4,1926-12-06,0.00454610773062103
