Dates,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,,,,RX = Mean,HML = P5 - P1
9/30/1999,0.0147841511635047,0.00913934948497475,0.00386586293948682,0.0197253798329839,0.0216734216864182,,,,1.38%,0.69%
10/29/1999,-0.000584126614168679,-0.004415840122448,-0.00781161439039685,-0.0174940499703856,-0.0179290894897526,,,,-0.96%,-1.73%
11/30/1999,-0.0120569077660814,-0.0409978691568834,-0.0370899486615917,0.00214421510048879,-0.0170042931262858,,,,-2.10%,-0.49%
12/31/1999,-0.008467955109839,-0.00664236575130905,0.00213038935769178,0.0212868464959598,0.00716931651125552,,,,0.31%,1.56%
1/31/2000,-0.0459595698376177,-0.0347603787393085,-0.0152630452457103,-0.0410679647414463,-0.016213547224175,,,,-3.07%,2.97%
2/29/2000,-0.0187298860705773,-0.0140201146226924,0.00196106963366904,-0.0280267165273753,-0.0171912174470509,,,,-1.52%,0.15%
3/31/2000,0.0338225009726717,-0.009344719617075,0.00407945049170855,0.00388064124514603,-0.00301845414571683,,,,0.59%,-3.68%
4/28/2000,-0.0455501442019917,-0.0399127009650822,-0.0350727922734941,-0.0377349396766272,-0.0338282485843813,,,,-3.84%,1.17%
5/31/2000,-0.0214654301830095,0.0212880724597858,0.00754227847614641,-0.0366609755858661,-0.0111986753904693,,,,-0.81%,1.03%
6/30/2000,0.0252748187763613,0.0271585752381576,0.0271826278746593,0.0238033455354079,0.0199064582239059,,,,2.47%,-0.54%
7/31/2000,-0.0299446761637,-0.0377232549812361,-0.0179001954904176,-0.0231111813963096,-0.0338355569838309,,,,-2.85%,-0.39%
8/31/2000,-0.0119576419608586,-0.0415441772313231,-0.0197846172205595,-0.0213247886232625,-0.0456362094209435,,,,-2.80%,-3.37%
9/29/2000,-0.00281270412317142,-0.0134563193078694,-0.0149438304417062,-0.0217775892883287,-0.0220397159353994,,,,-1.50%,-1.92%
10/31/2000,-0.0294191670576972,-0.0399994674686872,-0.0253772990208677,-0.0312669076098467,-0.0244655219589418,,,,-3.01%,0.50%
11/30/2000,0.00914759681767435,0.0074662099911661,0.00652821428270811,-0.00250545228353022,0.0130693256148686,,,,0.67%,0.39%
12/29/2000,0.012979597353719,0.0701681717993627,0.0613512032156084,0.0375985124850429,0.0717141308898697,,,,5.08%,5.87%
1/31/2001,-0.017304839602045,-0.0109476622300229,-0.00321240574420534,-0.0203825382378631,-0.00179198095233957,,,,-1.07%,1.55%
2/28/2001,-0.0208264965050919,-0.00947541905406008,-0.011326142092675,-0.0136777522338074,-0.0307109685979655,,,,-1.72%,-0.99%
3/30/2001,-0.0531023805973296,-0.0531856424480878,-0.0395631040164665,-0.0466561421161286,-0.0461666810968165,,,,-4.77%,0.69%
4/30/2001,0.00482870143094999,0.00823214623732993,0.0165266878754434,0.0253726927308973,0.0112487245777196,,,,1.32%,0.64%
5/31/2001,0.000590872350826888,-0.0299702992738147,-0.0270104839562657,-0.0275212420105074,-0.0177003408541179,,,,-2.03%,-1.83%
6/29/2001,-0.0245022367726875,0.00515197298238695,0.00277921304847428,0.00208357175629242,-0.000461396985578066,,,,-0.30%,2.40%
7/31/2001,0.0142014682612589,0.0197028417680631,0.0296443138115728,0.00127625089184102,0.0125125189042209,,,,1.55%,-0.17%
8/31/2001,0.0435478168540717,0.00269303310150115,0.0397851815402759,0.0310896999846968,0.0490446110590176,,,,3.32%,0.55%
9/28/2001,0.0121191348658227,-0.00821563094348826,-0.00926510740099545,-0.0258006575701419,-0.0354226192837796,,,,-1.33%,-4.75%
10/31/2001,-0.0182479510743549,-0.00846556880408939,-0.00577904036898719,0.00557565154458517,0.00811094939363533,,,,-0.38%,2.64%
11/30/2001,-0.00568354544047128,0.00171466694192574,-0.00254461405201456,0.00712446057250366,0.00387808524891781,,,,0.09%,0.96%
12/31/2001,-0.0363379174794939,-0.00798757853041915,0.0101444613971867,0.00235128668989842,2.78508087875329E-05,,,,-0.64%,3.64%
1/31/2002,-0.0277810058899894,-0.0172631147605107,-0.0264532000405195,-0.01677830907287,-0.00452071548146221,,,,-1.86%,2.33%
2/28/2002,0.00551979970577865,0.000543138228802476,0.00545472220072285,0.0213140769535444,0.0192959188139116,,,,1.04%,1.38%
3/29/2002,0.00945680756167544,0.00536745340633038,0.00654675499630908,0.0198772429270522,0.0272938132955792,,,,1.37%,1.78%
4/30/2002,0.0361548907126482,0.0261794619528143,0.0309000004115695,0.0101801802932957,0.0349184414011786,,,,2.77%,-0.12%
5/31/2002,0.0311492261839714,0.0299571333990929,0.0192682532877954,0.0534248633916691,0.0645492639203368,,,,3.97%,3.34%
6/28/2002,0.0465808025987029,0.0347033971089039,0.0534361455826038,0.0292596868211518,0.0427672359384126,,,,4.13%,-0.38%
7/31/2002,0.00294452252400557,-0.0245235363837202,0.0101345803322329,-0.0310887569824632,-0.0233322128527441,,,,-1.32%,-2.63%
8/30/2002,-0.0033100207661016,0.00853726406101607,-0.00438752793763086,0.0126458313706898,0.00788834660023874,,,,0.43%,1.12%
9/30/2002,-0.00342130800776747,-0.00404170515229096,0.0113088999925244,0.000332195861818263,0.0134478979000847,,,,0.35%,1.69%
10/31/2002,-0.00682491992908896,0.00903394723052442,-0.000567957018809018,0.0180311995254027,0.0173531989782624,,,,0.74%,2.42%
11/29/2002,-0.00231807961436492,0.0018829726941843,0.00165530596604363,0.0125562958068257,0.0235533029383813,,,,0.75%,2.59%
12/31/2002,0.0540621873810669,0.0242395480575889,0.0463750739973507,0.0243747086520018,0.0579747123430981,,,,4.14%,0.39%
1/31/2003,-0.00108788512224495,0.0307644716883748,0.0229797501479332,0.0280933326466069,0.0211134664634097,,,,2.04%,2.22%
2/28/2003,0.0125305327819295,0.0149440304423657,0.010410657175505,-0.00129085947350843,0.0013879727541784,,,,0.76%,-1.11%
3/31/2003,0.00112566467878761,0.0115393557225127,0.00871395085979165,-0.000270974541393798,-0.00960016301839356,,,,0.23%,-1.07%
4/30/2003,-0.00625646108085781,0.0248121235103027,0.0200060760372024,0.0377077624497921,0.026542741368845,,,,2.06%,3.28%
5/30/2003,0.020205477912406,0.0547706614482406,0.0369686965182723,0.0493413552898633,0.0405506492316747,,,,4.04%,2.03%
6/30/2003,-0.0217271095451507,-0.0238337554366858,-0.00764828356662894,0.0203394296516084,-0.0261035930573739,,,,-1.18%,-0.44%
7/31/2003,-0.00878002641372949,-0.0214980713272468,-0.0311545871180747,-0.0150814459554449,-0.0213245887354345,,,,-1.96%,-1.25%
8/29/2003,0.0040867276115481,-0.0215840556334232,-0.0207069636661996,-0.00732569847602099,0.00205261240843779,,,,-0.87%,-0.20%
9/30/2003,0.0554732353154031,0.0630644625560473,0.0547453181633948,0.061691563900711,0.0418357343113657,,,,5.54%,-1.36%
10/31/2003,-0.00110975839355187,-0.00587545488402358,0.00883782518245835,0.00590217506345464,0.0369952639065155,,,,0.90%,3.81%
11/28/2003,0.0203895034367441,0.033284487985891,0.0295464427826403,0.0267916370525162,0.0354336565752785,,,,2.91%,1.50%
12/31/2003,0.0273984476476922,0.0475510955779226,0.0309842294750003,0.018558754280699,0.0317878931017829,,,,3.13%,0.44%
1/30/2004,0.00360908589691222,-0.00779167387045854,-0.0330691947828549,0.00227637912946349,0.024829966440139,,,,-0.20%,2.12%
2/27/2004,-0.0175357499511877,0.000825171197676,-0.00445286177632631,0.0119770718775105,0.021545704527058,,,,0.25%,3.91%
3/31/2004,0.0226930927665047,0.00368972298449971,0.0045960333391023,-0.0149736174322038,-0.0212321425938579,,,,-0.10%,-4.39%
4/30/2004,-0.0404193109944657,-0.0133463493916888,-0.0346706354676954,-0.0226748686012865,-0.0522319501617802,,,,-3.27%,-1.18%
5/31/2004,0.018998098566735,0.0122298005621108,0.022108401027706,0.0273080114892406,-0.00109536254050346,,,,1.59%,-2.01%
6/30/2004,0.00342877093951921,-0.00512886451824307,-0.00581261017424356,-0.0043815197320064,-0.00728754484163574,,,,-0.38%,-1.07%
7/30/2004,-0.0199104424300125,-0.00107305808399527,-0.0166406649081802,-0.00410771461670767,0.0102650955410406,,,,-0.63%,3.02%
8/31/2004,0.0167135968612423,0.0141880976496502,0.0187074090486302,0.0013174967532627,0.0210514474276285,,,,1.44%,0.43%
9/30/2004,0.00310463199950201,0.0331515755789382,0.0247524211656959,0.0152845016332248,0.0343726158525987,,,,2.21%,3.13%
10/29/2004,0.0372990461281855,0.0373900678526902,0.0252137095321613,0.0237497607431467,0.0189317956926375,,,,2.85%,-1.84%
11/30/2004,0.0385723383729906,0.0467564996061692,0.0401780653723999,0.0337690723704357,0.0425858609555497,,,,4.04%,0.40%
12/31/2004,0.00174152476306527,0.0081628518852308,0.0187869625562039,-0.00243271983937093,0.0109731876617036,,,,0.74%,0.92%
1/31/2005,-0.0261516567442651,-0.046162480112051,-0.0345102090440844,-0.0268653893873768,-0.00625618320115468,,,,-2.80%,1.99%
2/28/2005,0.00753140875172914,0.0220386176758721,0.0150224364749714,0.0142765077566628,0.0243837526942451,,,,1.67%,1.69%
3/31/2005,-0.0286004639837973,-0.0286779968790601,-0.022748244966988,0.000975908336315667,-0.0206614361469353,,,,-1.99%,0.79%
4/29/2005,0.0119450185941371,-0.00155312682274206,-0.00543647410819942,-0.0119963417412761,0.023095552083762,,,,0.32%,1.12%
5/31/2005,-0.0381326727728362,-0.0333839880861097,-0.0450829278983989,-0.0212650294577089,-0.0333238520776591,,,,-3.42%,0.48%
6/30/2005,-0.0298497277665106,-0.0348624292736502,-0.022048627164965,0.00180999595950204,-0.00270200099419704,,,,-1.75%,2.71%
7/29/2005,-0.010086846417976,0.00348836125679008,-0.000834310889090861,-0.0094864977148314,-0.0104424611434455,,,,-0.55%,-0.04%
8/31/2005,0.0197916276660801,0.0212224980614233,0.0168790043491569,0.0290641345885623,0.00696294197224268,,,,1.88%,-1.28%
9/30/2005,-0.0296695309778132,-0.0281543334449728,-0.026835247358725,0.000201827127838394,0.00669305460275121,,,,-1.56%,3.64%
10/31/2005,-0.0141727562347123,-0.0184106689847152,-0.000237448696080833,-0.00880451735440907,-0.00504465307762303,,,,-0.93%,0.91%
11/30/2005,-0.0260146349948262,-0.0183920533601892,-0.0288167884472348,-0.00528408501303018,-0.00156759164644943,,,,-1.60%,2.44%
12/30/2005,0.00455586981421652,0.00608741435167348,-0.00132445350439458,-0.00398472700343761,-0.0166972468442854,,,,-0.23%,-2.13%
1/31/2006,0.0175028052169119,0.028582048872579,0.025820835283305,0.0279764140659484,0.0185819253828378,,,,2.37%,0.11%
2/28/2006,-0.0116364498935628,-0.0310635381903288,-0.0223859133259077,-0.0071710721835262,-0.0253184313317431,,,,-1.95%,-1.37%
3/31/2006,-0.00776835279826527,0.0203899891457594,0.0142535190666971,-0.0172979836022258,-0.055577877889977,,,,-0.92%,-4.78%
4/28/2006,0.0397406740348409,0.057186079804034,0.0390845151644256,0.0433523831054257,0.0493976721740895,,,,4.58%,0.97%
5/31/2006,0.0132100130261895,0.0136607533473162,0.0141480936865774,0.0216104052684514,-0.00355604671105897,,,,1.18%,-1.68%
6/30/2006,-0.016408248811707,-0.00480491978202957,-0.0177354862024683,-0.0140001413205325,-0.0280451340090286,,,,-1.62%,-1.16%
7/31/2006,-0.00564289819461322,0.00143034670336584,-0.00402350386681799,-0.00331117157029626,0.0223093718008686,,,,0.22%,2.80%
8/31/2006,-0.0160521034211398,-0.0186286611745547,0.000108930285045883,0.0195407302494688,0.0299238629568231,,,,0.30%,4.60%
9/29/2006,-0.0127103164720693,-0.0220581446967973,-0.0107464314582122,-0.0140609736640492,-0.011974759694648,,,,-1.43%,0.07%
